batch_id,dimension_name,dimension_value,total_members,matched_count,added_count,removed_count,avg_score_diff,min_score_diff,max_score_diff,avg_score_added,avg_score_removed
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,1,681,681,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,0-17,1657,1657,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,9,670,670,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,6,684,684,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,7,689,689,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,5,691,691,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,metal_level,Platinum,2038,2038,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,has_rxc,Yes,1236,1236,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,hcc_count_band,2,1878,1878,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,model,Infant,163,163,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,10,701,701,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,gender,M,4106,4106,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,metal_level,Gold,2121,2121,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,metal_level,Silver,2097,2097,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,hcc_count_band,1,1592,1592,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,model,Child,1770,1770,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,3,704,704,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,4,706,706,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,gender,F,4170,4170,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,40-49,910,910,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,11,720,720,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,12,703,703,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,hcc_count_band,0,743,743,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,18-29,1079,1079,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,8,670,670,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,hcc_count_band,3+,4063,4063,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,30-39,899,899,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,60-64,446,446,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,model,Adult,6343,6343,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,enrollment_months,2,657,657,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,metal_level,Bronze,2020,2020,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,has_rxc,No,7040,7040,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,65+,2367,2367,0,0,0.0,0.0,0.0,,
d57bf816-5ac8-4bd9-8443-8214db003fc5,age_band,50-59,918,918,0,0,0.0,0.0,0.0,,
