run_id,dimension_name,dimension_value,member_count,avg_score,min_score,max_score,p50,p90,p99,avg_hcc_score,avg_rxc_score,avg_demographic_score
c44f1e3a-9098-4527-ad01-5b325f274a62,model,Infant,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c44f1e3a-9098-4527-ad01-5b325f274a62,gender,M,4210,15.38019928159878,0.0,97.03099822998047,11.979999542236328,34.16849899291992,63.13886260986328,13.985693822603787,1.1688304080249579,0.22567505753486286
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,8,724,14.1691768146969,0.0,90.11699676513672,10.697500228881836,32.169700622558594,56.141510009765625,12.931121564423922,0.9903093955340636,0.24774585737337396
c44f1e3a-9098-4527-ad01-5b325f274a62,metal_level,Platinum,2097,16.077196486852085,0.0,97.03099822998047,12.48900032043457,35.79880142211914,60.028438568115234,14.414988561612,1.2981525978973267,0.36405531800555
c44f1e3a-9098-4527-ad01-5b325f274a62,hcc_count_band,3+,4074,22.658604554019988,0.0,122.02400207519531,20.25,41.91379928588867,68.45660400390625,21.114890766695368,1.296451647904467,0.2472621509105801
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,1,701,20.219453627113438,0.0,97.03099822998047,17.76300048828125,38.992000579833984,64.26899719238281,18.858142634091127,1.1126362343721314,0.24867475123148672
c44f1e3a-9098-4527-ad01-5b325f274a62,hcc_count_band,0,769,1.1680741184167032,0.0,29.290000915527344,0.25600001215934753,1.0901999473571777,21.4810791015625,0.0,0.9194408368285363,0.2486332907827065
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,40-49,916,15.696781669893834,0.08699999749660492,81.47000122070312,12.926000595092773,33.7130012512207,51.57480239868164,13.836782741884997,1.6054006596238202,0.2545982547364641
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,10,696,15.559885009513076,0.0,86.93399810791016,11.764999389648438,35.327999114990234,61.306602478027344,14.25095258728098,1.0604525846803838,0.2484798855737023
c44f1e3a-9098-4527-ad01-5b325f274a62,metal_level,Gold,2077,15.613099641405624,0.0,93.93499755859375,12.463000297546387,34.32419967651367,62.81732177734375,14.1954419772568,1.1398478727904318,0.2778098252483096
c44f1e3a-9098-4527-ad01-5b325f274a62,metal_level,Silver,2033,14.835680266535316,0.0,88.11499786376953,11.071999549865723,33.80800247192383,63.057559967041016,13.533897687957255,1.0961893640322986,0.20559321130239724
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,3,676,15.3830133098117,0.0,90.9260025024414,12.248499870300293,32.83150100708008,67.73149871826172,14.019517748236392,1.1274556276889949,0.23603994134791503
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,4,696,15.85357042974739,0.0,122.02400207519531,11.829000473022461,35.65399932861328,64.0708999633789,14.459632186968436,1.134402296976882,0.2595359202388717
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,18-29,1067,16.05731207320175,0.04800000041723251,93.93499755859375,12.079000473022461,37.18280029296875,67.06792449951172,14.834751640077272,1.0768716047328548,0.1456888473148422
c44f1e3a-9098-4527-ad01-5b325f274a62,has_rxc,Yes,1196,22.7821371250328,0.22499999403953552,90.9260025024414,20.9739990234375,42.03950119018555,65.13510131835938,14.529288474084144,7.964931457082314,0.28791722520737345
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,2,713,16.859098152757777,0.0,76.12899780273438,13.607000350952148,36.111000061035156,59.900360107421875,15.488785399210236,1.1151641033391297,0.2551486684116541
c44f1e3a-9098-4527-ad01-5b325f274a62,metal_level,Bronze,2121,14.913226772730274,0.0,122.02400207519531,11.58899974822998,33.28099822998047,59.13140106201172,13.723499285853707,1.0409311720963528,0.14879632210433624
c44f1e3a-9098-4527-ad01-5b325f274a62,hcc_count_band,1,1552,7.188503862190608,0.0,53.63999938964844,4.366499900817871,18.4862003326416,35.08599853515625,6.011211981725658,0.9274819583065578,0.24980992364418722
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,50-59,916,14.882368997406362,0.16200000047683716,90.9260025024414,12.09950065612793,31.754501342773438,54.4463996887207,13.135823142287773,1.4267958586539373,0.31975000211765675
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,65+,2343,15.404838655813352,0.2160000056028366,79.67900085449219,12.413999557495117,32.560401916503906,55.739479064941406,13.54257406146638,1.5077264214803456,0.35453820025061017
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,12,687,14.097248881025,0.0,74.53700256347656,10.359999656677246,32.447200775146484,56.70765686035156,12.511566247698868,1.3323187765704665,0.25336390228337424
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,11,670,13.616513444405438,0.0,81.45700073242188,10.194999694824219,31.734800338745117,53.79352951049805,12.456297008426331,0.9172761275141097,0.24294029896828664
c44f1e3a-9098-4527-ad01-5b325f274a62,model,Child,1682,17.79227821623705,0.03400000184774399,122.02400207519531,13.312000274658203,43.39509963989258,75.80452728271484,17.64468072085917,0.0,0.1475975025936908
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,30-39,916,15.229401756574168,0.06199999898672104,76.01499938964844,12.147500038146973,32.94300079345703,54.02534866333008,13.592710700065028,1.4401735800875586,0.19651746731983522
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,60-64,491,15.026042778811242,0.2160000056028366,85.84700012207031,11.487000465393066,33.26100158691406,61.20880126953125,13.1399898101441,1.5228961401006356,0.36315682433287627
c44f1e3a-9098-4527-ad01-5b325f274a62,has_rxc,No,7132,14.117603050114454,0.0,122.02400207519531,10.734000205993652,32.071800231933594,59.888118743896484,13.875082861801868,0.0,0.2425201914345807
c44f1e3a-9098-4527-ad01-5b325f274a62,gender,F,4118,15.343259344202199,0.0,122.02400207519531,11.932000160217285,34.44309997558594,60.57080078125,13.95200315498145,1.118329772920198,0.27292642409851275
c44f1e3a-9098-4527-ad01-5b325f274a62,model,Adult,6402,15.308898624686785,0.04800000041723251,90.9260025024414,12.256500244140625,33.004398345947266,55.5883903503418,13.535733678989445,1.4879815718010696,0.2851833813334677
c44f1e3a-9098-4527-ad01-5b325f274a62,hcc_count_band,2,1933,12.19256027454517,0.0,70.6760025024414,10.140000343322754,25.486398696899414,49.300601959228516,10.854968446052975,1.085262289857593,0.2523295404770124
c44f1e3a-9098-4527-ad01-5b325f274a62,age_band,0-17,1679,15.109631314838195,0.0,122.02400207519531,10.66100025177002,40.00979995727539,72.25424194335938,14.9884597804972,0.0,0.12117153025404764
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,5,655,15.04152366144739,0.0,82.23400115966797,11.708000183105469,34.821800231933594,58.18212127685547,13.294138923992637,1.4960503767578657,0.2513343522794374
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,9,728,13.79544228297955,0.0,75.65799713134766,10.20949935913086,31.526798248291016,59.00205993652344,12.417924448530506,1.1371662120877222,0.24035164937991035
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,7,702,14.712243598368433,0.0,81.13899993896484,11.197000503540039,33.26609802246094,61.907230377197266,13.524972920929562,0.9386481534785185,0.24862250764230717
c44f1e3a-9098-4527-ad01-5b325f274a62,enrollment_months,6,680,14.981605892803739,0.0,73.5739974975586,11.253999710083008,33.42729949951172,61.6062126159668,13.331704417440822,1.3935970654711127,0.2563044124995084
