run_id,rxc_code,member_count,prevalence,avg_score_contribution,total_score_contribution
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_08,134,0.016123210203344965,21.818492537313432,2923.678
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_03,128,0.015401275418120563,0.0871171875,11.151
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_10,141,0.01696546745277343,16.331879432624113,2302.795
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_01,122,0.014679340632896162,7.406319672131149,903.5710000000001
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_04,148,0.0178077247022019,1.5754594594594595,233.168
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_09,132,0.01588256527493683,15.92246212121212,2101.765
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_07,140,0.016845144988569365,0.6265857142857142,87.722
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_05,130,0.015641920346528698,1.3815153846153845,179.59699999999998
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_02,123,0.014799663097100228,6.93049593495935,852.451
82b745ea-4d9c-4417-b697-47828e7df81c,RXC_06,117,0.014077728311875827,1.2047606837606832,140.95699999999994
