model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,MAGE_LAST_21_24,Yes,0.121,0.083,0.055,0.018,0.017
Adult,MAGE_LAST_25_29,Yes,0.121,0.083,0.055,0.016,0.016
Adult,MAGE_LAST_30_34,Yes,0.15,0.104,0.071,0.025,0.024
Adult,MAGE_LAST_35_39,Yes,0.177,0.123,0.083,0.028,0.028
Adult,MAGE_LAST_40_44,Yes,0.211,0.15,0.105,0.043,0.042
Adult,MAGE_LAST_45_49,Yes,0.241,0.173,0.122,0.053,0.052
Adult,MAGE_LAST_50_54,Yes,0.323,0.244,0.186,0.109,0.108
Adult,MAGE_LAST_55_59,Yes,0.364,0.275,0.21,0.123,0.122
Adult,MAGE_LAST_60_GT,Yes,0.41,0.311,0.238,0.141,0.14
Adult,FAGE_LAST_21_24,Yes,0.203,0.146,0.102,0.044,0.044
Adult,FAGE_LAST_25_29,Yes,0.222,0.16,0.113,0.048,0.048
Adult,FAGE_LAST_30_34,Yes,0.295,0.22,0.165,0.09,0.089
Adult,FAGE_LAST_35_39,Yes,0.364,0.276,0.213,0.13,0.129
Adult,FAGE_LAST_40_44,Yes,0.418,0.319,0.248,0.153,0.152
Adult,FAGE_LAST_45_49,Yes,0.426,0.321,0.245,0.141,0.14
Adult,FAGE_LAST_50_54,Yes,0.464,0.358,0.28,0.173,0.172
Adult,FAGE_LAST_55_59,Yes,0.437,0.331,0.251,0.143,0.142
Adult,FAGE_LAST_60_GT,Yes,0.438,0.327,0.245,0.133,0.132
Adult,HHS_HCC001,Yes,1.5,1.325,1.208,1.126,1.125
Adult,HHS_HCC002,Yes,7.314,7.088,6.953,6.991,6.991
Adult,HHS_HCC003,Yes,6.103,6.005,5.936,5.951,5.951
Adult,HHS_HCC004,Yes,5.275,5.032,4.893,4.777,4.775
Adult,HHS_HCC006,Yes,6.567,6.487,6.438,6.378,6.378
Adult,HHS_HCC008,Yes,23.144,22.562,22.156,22.163,22.163
Adult,HHS_HCC009,Yes,12.978,12.548,12.257,12.193,12.192
Adult,HHS_HCC010,Yes,5.646,5.364,5.173,5.064,5.063
Adult,HHS_HCC011,Yes,3.999,3.72,3.532,3.413,3.412
Adult,HHS_HCC012,Yes,2.72,2.513,2.371,2.263,2.262
Adult,HHS_HCC013,Yes,1.189,1.03,0.92,0.767,0.766
Adult,HHS_HCC018,Yes,2.044,1.978,1.934,1.94,1.94
Adult,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC022,Yes,0.437,0.371,0.342,0.267,0.266
Adult,HHS_HCC023,Yes,11.036,11.034,11.017,11.136,11.136
Adult,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC029,Yes,7.698,7.561,7.465,7.424,7.424
Adult,HHS_HCC030,Yes,1.841,1.732,1.659,1.582,1.581
Adult,HHS_HCC034,Yes,9.992,9.906,9.844,9.849,9.847
Adult,HHS_HCC035_1,Yes,9.786,9.718,9.658,9.697,9.696
Adult,HHS_HCC035_2,Yes,3.154,2.95,2.817,2.797,2.796
Adult,HHS_HCC036,Yes,1.068,0.942,0.858,0.779,0.778
Adult,HHS_HCC037_1,Yes,0.886,0.768,0.697,0.614,0.613
Adult,HHS_HCC037_2,Yes,0.886,0.768,0.697,0.614,0.613
Adult,HHS_HCC041,Yes,35.31,35.238,35.183,35.162,35.161
Adult,HHS_HCC042,Yes,9.183,8.927,8.752,8.757,8.757
Adult,HHS_HCC045,Yes,5.552,5.288,5.126,5.08,5.079
Adult,HHS_HCC046,Yes,3.698,3.491,3.365,3.364,3.364
Adult,HHS_HCC047,Yes,3.238,2.96,2.802,2.702,2.701
Adult,HHS_HCC048,Yes,1.293,1.15,1.053,0.939,0.938
Adult,HHS_HCC054,Yes,10.233,10.119,10.015,10.11,10.11
Adult,HHS_HCC055,Yes,5.42,5.213,5.068,5.085,5.085
Adult,HHS_HCC056,Yes,1.382,1.237,1.133,1.024,1.023
Adult,HHS_HCC057,Yes,0.682,0.547,0.453,0.308,0.306
Adult,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC063,Yes,1.981,1.804,1.695,1.592,1.591
Adult,HHS_HCC066,Yes,70.482,70.029,69.705,69.715,69.715
Adult,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
